,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Marc Gasol,28,MEM,30.0,212.0,605,0.350,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197,5.4,3.1,98,gasolma01
2,LeBron James,28,MIA,18.0,149.0,605,0.246,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,.322,4.7,2.4,101,jamesle01
3,Serge Ibaka,23,OKC,14.0,122.0,605,0.202,80,31.1,13.2,7.7,0.5,0.4,3.0,.573,.351,.749,9.4,.181,4.1,0.7,101,ibakase01
4,Joakim Noah,27,CHI,13.0,107.0,605,0.177,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,.000,.751,7.3,.145,4.7,2.7,99,noahjo01
5,Tony Allen,31,MEM,9.0,102.0,605,0.169,79,26.7,8.9,4.6,1.2,1.5,0.6,.445,.125,.717,5.1,.115,4.1,2.4,98,allento01
6,Tim Duncan,36,SAS,11.0,94.0,605,0.155,69,30.1,17.8,9.9,2.7,0.7,2.7,.502,.286,.817,8.3,.191,4.9,2.9,95,duncati01
7,Larry Sanders,24,MIL,4.0,90.0,605,0.149,71,27.3,9.8,9.5,1.2,0.7,2.8,.506,.000,.618,6.0,.149,3.7,2.0,99,sandela01
8,Paul George,22,IND,8.0,57.0,605,0.094,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145,6.3,2.3,97,georgpa01
9,Andre Iguodala,29,DEN,5.0,43.0,605,0.071,80,34.7,13.0,5.3,5.4,1.7,0.7,.451,.317,.574,5.6,.097,3.2,1.4,105,iguodan01
10,Roy Hibbert,26,IND,3.0,36.0,605,0.060,79,28.7,11.9,8.3,1.4,0.5,2.6,.448,.250,.741,6.1,.129,4.9,1.4,97,hibbero01
11,Chris Paul,27,LAC,2.0,19.0,605,0.031,70,33.4,16.9,3.7,9.7,2.4,0.1,.481,.328,.885,13.9,.287,3.4,2.4,102,paulch01
12,Avery Bradley,22,BOS,2.0,15.0,605,0.025,50,28.7,9.2,2.2,2.1,1.3,0.4,.402,.317,.755,0.4,.012,1.6,0.3,105,bradlav01
13,Tyson Chandler,30,NYK,0.0,11.0,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,.638,,.694,9.3,.207,2.6,-0.3,104,chandty01
14,Dwight Howard,27,LAL,1.0,9.0,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,.578,.167,.492,7.6,.134,4.8,1.1,100,howardw01
15,Luol Deng,27,CHI,1.0,6.0,605,0.010,75,38.7,16.5,6.3,3.0,1.1,0.4,.426,.322,.816,6.3,.105,3.3,-0.3,105,denglu01
16,Dwyane Wade,31,MIA,0.0,4.0,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,.521,.258,.725,9.6,.192,3.5,0.7,103,wadedw01
17T,Trevor Ariza,27,WAS,0.0,3.0,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,.417,.364,.821,3.1,.102,2.4,2.0,101,arizatr01
17T,Jimmy Butler,23,CHI,0.0,3.0,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,.467,.381,.803,7.0,.158,2.6,1.0,104,butleji01
17T,Kenneth Faried,23,DEN,0.0,3.0,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,.552,,.613,7.8,.167,3.4,0.2,102,farieke01
17T,Russell Westbrook,24,OKC,0.0,3.0,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,.438,.323,.800,11.6,.195,3.9,-0.2,103,westbru01
21,Mike Conley,25,MEM,0.0,1.0,605,0.002,80,34.5,14.6,2.8,6.1,2.2,0.3,.440,.362,.830,9.9,.172,4.7,2.3,100,conlemi01
