,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Joakim Noah,28,CHI,100.0,555.0,625,0.888,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,6.6,3.6,96,noahjo01
2,Roy Hibbert,27,IND,8.0,166.0,625,0.266,81,29.7,10.8,6.6,1.1,0.4,2.2,.439,.400,.770,5.4,.108,5.0,1.5,98,hibbero01
3,DeAndre Jordan,25,LAC,8.0,121.0,625,0.194,82,35.0,10.4,13.6,0.9,1.0,2.5,.676,,.428,11.1,.186,5.8,1.6,98,jordade01
4,Serge Ibaka,24,OKC,2.0,79.0,625,0.126,81,32.9,15.1,8.8,1.0,0.5,2.7,.536,.383,.784,9.6,.173,4.4,0.6,102,ibakase01
5,Andre Iguodala,30,GSW,1.0,47.0,625,0.075,63,32.4,9.3,4.7,4.2,1.5,0.3,.480,.354,.652,5.8,.135,3.1,2.4,103,iguodan01
6,LeBron James,29,MIA,2.0,31.0,625,0.050,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264,3.7,1.1,105,jamesle01
7,Paul George,23,IND,0.0,30.0,625,0.048,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,.364,.864,10.8,.178,6.4,2.1,97,georgpa01
8T,Anthony Davis,20,NOP,1.0,25.0,625,0.040,67,35.2,20.8,10.0,1.6,1.3,2.8,.519,.222,.791,10.4,.212,3.2,0.8,104,davisan02
8T,Dwight Howard,28,HOU,1.0,25.0,625,0.040,71,33.7,18.3,12.2,1.8,0.8,1.8,.591,.286,.547,8.0,.161,4.1,0.8,101,howardw01
10,Andrew Bogut,29,GSW,1.0,11.0,625,0.018,67,26.4,7.3,10.0,1.7,0.7,1.8,.627,,.344,6.5,.176,4.0,3.2,96,bogutan01
11,Kawhi Leonard,22,SAS,0.0,9.0,625,0.014,66,29.1,12.8,6.2,2.0,1.7,0.8,.522,.379,.802,7.7,.193,3.9,3.0,98,leonaka01
12,P.J. Tucker,28,PHO,1.0,6.0,625,0.010,81,30.7,9.4,6.5,1.7,1.4,0.3,.431,.387,.776,6.1,.117,2.8,0.9,106,tuckepj01
13T,Tim Duncan,37,SAS,0.0,5.0,625,0.008,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,.000,.731,7.4,.164,4.6,2.1,98,duncati01
13T,Chris Paul,28,LAC,0.0,5.0,625,0.008,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,.368,.855,12.2,.270,3.2,2.6,103,paulch01
15T,Trevor Ariza,28,WAS,0.0,4.0,625,0.006,77,35.4,14.4,6.2,2.5,1.6,0.3,.456,.407,.772,8.0,.141,3.7,1.0,104,arizatr01
15T,Marc Gasol,29,MEM,0.0,4.0,625,0.006,59,33.4,14.6,7.2,3.6,1.0,1.3,.473,.182,.768,5.6,.137,3.1,2.0,102,gasolma01
17,Patrick Beverley,25,HOU,0.0,2.0,625,0.003,56,31.3,10.2,3.5,2.7,1.4,0.4,.414,.361,.814,4.2,.116,1.6,0.9,108,beverpa01
